id,client_id,order_day,category_id,category_name,good_id,good_name,good_price,good_cnt,gender_cd,age,education_level,city_nm,monthly_income_amt,steam_popularity_score
1500571355,5-25R6ZT3L9,2023-05-22,29688,Скидки,890257,The Night of the Rabbit,299.0,1.0,M,28,UGR,Москва,73552,0.0
1500571245,5-2P4Z5VSMF,2023-05-22,28574,Ролевые (RPG),1436296,Ni no Kuni Wrath of the White Witch Remastered,269.85,1.0,M,26,GRD,Москва,281417,0.0
1500573164,5-YGO64ONA,2023-05-24,30659,Казуальные игры,1179848,KeyWe - The 100th Annual Grand Ol' Telepost Tournament - DLC,77.0,1.0,M,30,GRD,Москва,86000,0.0
1500364601,5-1VA0D94LX,2022-10-23,29688,Скидки,1204914,GTFO,1675.01,1.0,M,24,GRD,Самара,56000,283.0
1500288143,5-1QCUV9SY7,2022-07-03,28577,Экшн,1314503,Neon White,550.0,1.0,M,38,GRD,Санкт-Петербург,32000,1676.0
1500272141,5-MDJBUKHR,2022-06-07,28565,Симуляторы,1123552,The Dweller,13.0,1.0,M,26,UGR,Москва,92000,0.0
1500672836,5-3JDBNQHP0,2023-09-09,28568,Инди,1565736,Dead Cells: Return to Castlevania - DLC,385.0,1.0,M,21,GRD,Москва,161495,0.0
1500587318,5-2X6ALXFTI,2023-06-08,29688,Скидки,848382,Darksiders Genesis,249.75,1.0,F,23,GRD,Москва,30608,2627.0
1500410134,5-7RQ61CPW,2022-12-08,28577,Экшн,1406122,Dome Keeper,420.0,1.0,M,34,GRD,Москва,59600,1558.0
1500544731,5-U7RYRXY8,2023-04-18,28577,Экшн,848557,Resident Evil 7 - Season Pass - DLC,358.0,1.0,M,28,SCH,Омск,20000,0.0
1500731915,5-33BB4RR6V,2023-10-06,28577,Экшн,1423435,POSTAL 2,38.5,1.0,M,17,SCH,Волгоград,121422,451.0
1500424319,5-TBCB8MP7,2022-12-22,29688,Скидки,1435647,The Darkest Tales,282.75,1.0,M,25,SCH,Челябинск,-123669,0.0
1500606801,5-27QNYCFQL,2023-06-30,33164,Бестселлеры,1674699,Marvel’s Spider-Man: Miles Morales,2331.65,1.0,M,21,GRD,Москва,170311,0.0
